Station Name,Avg Daily Tapped Entries,Avg Daily NonTapped Entries,Avg Daily Entries
Ronald Reagan Washington National Airport,"5,149",571,"5,720"
Union Station,"12,182",535,"12,716"
Columbia Heights,"7,217",525,"7,742"
Gallery Place,"12,127",382,"12,509"
Foggy Bottom-GWU,"11,849",370,"12,219"
Dulles Airport,"1,977",351,"2,328"
Fort Totten,"6,247",331,"6,577"
Dupont Circle,"9,640",317,"9,957"
Rhode Island Ave,"3,803",314,"4,116"
NoMa-Gallaudet U,"8,899",314,"9,213"
Georgia Ave-Petworth,"3,763",300,"4,063"
Anacostia,"3,208",297,"3,504"
Shaw-Howard U,"2,950",283,"3,233"
Hyattsville Crossing,"2,581",281,"2,862"
Navy Yard-Ballpark,"8,149",275,"8,424"
Metro Center,"11,714",267,"11,981"
L'Enfant Plaza,"8,907",263,"9,171"
U Street,"4,522",254,"4,776"
Greenbelt,"2,702",245,"2,947"
Brookland-CUA,"3,579",241,"3,820"
Takoma,"2,844",241,"3,085"
McPherson Sq,"6,008",236,"6,243"
Benning Road,"1,493",234,"1,727"
Minnesota Ave,"1,258",233,"1,490"
Shady Grove,"4,860",232,"5,092"
Farragut North,"8,561",231,"8,793"
Silver Spring,"3,765",223,"3,988"
Tenleytown-AU,"3,406",219,"3,625"
Waterfront,"3,254",213,"3,468"
Pentagon City,"7,142",213,"7,356"
Stadium-Armory,"1,614",213,"1,828"
Suitland,"1,969",212,"2,181"
Potomac Ave,"2,058",208,"2,266"
Farragut West,"7,813",208,"8,021"
Rosslyn,"6,368",205,"6,574"
West Hyattsville,"2,086",205,"2,291"
Eastern Market,"3,526",203,"3,729"
Archives,"4,369",200,"4,569"
Naylor Road,"1,024",195,"1,219"
King St-Old Town,"3,585",188,"3,773"
New Carrollton,"2,711",186,"2,897"
Deanwood,786,186,972
Smithsonian,"5,280",183,"5,463"
Branch Ave,"2,055",183,"2,238"
Capitol Heights,"1,035",177,"1,212"
Friendship Heights,"3,422",175,"3,597"
Southern Ave,"2,113",172,"2,285"
Ballston-MU,"5,033",169,"5,201"
Woodley Park,"3,558",163,"3,722"
Downtown Largo,"1,778",157,"1,935"
Rockville,"2,000",152,"2,152"
Huntington,"2,991",149,"3,139"
Mt Vernon Sq,"3,533",142,"3,675"
Crystal City,"4,584",142,"4,725"
Twinbrook,"1,997",142,"2,139"
Van Ness-UDC,"2,911",139,"3,050"
Franconia-Springfield,"2,840",137,"2,977"
College Park-U of Md,"1,976",136,"2,112"
North Bethesda,"1,720",135,"1,856"
Judiciary Square,"3,132",127,"3,259"
Federal Triangle,"3,369",122,"3,491"
Morgan Boulevard,870,115,985
Pentagon,"5,937",114,"6,051"
Cleveland Park,"2,172",108,"2,279"
Glenmont,"1,936",108,"2,043"
Landover,742,102,844
Bethesda,"4,350",97,"4,448"
Capitol South,"4,084",92,"4,176"
Braddock Road,"1,977",91,"2,068"
Forest Glen,771,90,861
Wheaton,"1,332",87,"1,419"
Medical Center,"2,386",84,"2,470"
Congress Heights,"1,423",82,"1,505"
Potomac Yard,"1,324",80,"1,404"
Clarendon,"2,758",79,"2,837"
Van Dorn Street,"1,244",79,"1,323"
Dunn Loring,"1,507",75,"1,582"
Tysons,"2,055",71,"2,126"
Vienna,"3,454",66,"3,520"
Addison Road,"1,284",63,"1,348"
Grosvenor-Strathmore,"2,200",63,"2,262"
Wiehle-Reston East,"1,420",58,"1,478"
Virginia Sq-GMU,"1,950",57,"2,007"
East Falls Church,"2,340",57,"2,397"
Court House,"3,516",55,"3,571"
Cheverly,454,52,507
Federal Center SW,"2,102",50,"2,153"
Ashburn,"1,212",46,"1,258"
McLean,"1,569",45,"1,614"
Eisenhower Ave,"1,176",44,"1,220"
Greensboro,851,42,892
Reston Town Center,790,38,828
Arlington Cemetery,"1,002",38,"1,039"
Spring Hill,607,37,644
Innovation Center,794,33,826
Herndon,830,26,856
West Falls Church,"1,028",23,"1,050"
Loudoun Gateway,257,11,268
