Station Name,Avg Daily Tapped Entries,Avg Daily NonTapped Entries,Avg Daily Entries
Ronald Reagan Washington National Airport,5149,571,5720
Union Station,12182,535,12716
Columbia Heights,7217,525,7742
Gallery Place,12127,382,12509
Foggy Bottom-GWU,11849,370,12219
Dulles Airport,1977,351,2328
Fort Totten,6247,331,6577
Dupont Circle,9640,317,9957
Rhode Island Ave,3803,314,4116
NoMa-Gallaudet U,8899,314,9213
Georgia Ave-Petworth,3763,300,4063
Anacostia,3208,297,3504
Shaw-Howard U,2950,283,3233
Hyattsville Crossing,2581,281,2862
Navy Yard-Ballpark,8149,275,8424
Metro Center,11714,267,11981
L'Enfant Plaza,8907,263,9171
U Street,4522,254,4776
Greenbelt,2702,245,2947
Brookland-CUA,3579,241,3820
Takoma,2844,241,3085
McPherson Sq,6008,236,6243
Benning Road,1493,234,1727
Minnesota Ave,1258,233,1490
Shady Grove,4860,232,5092
Farragut North,8561,231,8793
Silver Spring,3765,223,3988
Tenleytown-AU,3406,219,3625
Waterfront,3254,213,3468
Pentagon City,7142,213,7356
Stadium-Armory,1614,213,1828
Suitland,1969,212,2181
Potomac Ave,2058,208,2266
Farragut West,7813,208,8021
Rosslyn,6368,205,6574
West Hyattsville,2086,205,2291
Eastern Market,3526,203,3729
Archives,4369,200,4569
Naylor Road,1024,195,1219
King St-Old Town,3585,188,3773
New Carrollton,2711,186,2897
Deanwood,786,186,972
Smithsonian,5280,183,5463
Branch Ave,2055,183,2238
Capitol Heights,1035,177,1212
Friendship Heights,3422,175,3597
Southern Ave,2113,172,2285
Ballston-MU,5033,169,5201
Woodley Park,3558,163,3722
Downtown Largo,1778,157,1935
Rockville,2000,152,2152
Huntington,2991,149,3139
Mt Vernon Sq,3533,142,3675
Crystal City,4584,142,4725
Twinbrook,1997,142,2139
Van Ness-UDC,2911,139,3050
Franconia-Springfield,2840,137,2977
College Park-U of Md,1976,136,2112
North Bethesda,1720,135,1856
Judiciary Square,3132,127,3259
Federal Triangle,3369,122,3491
Morgan Boulevard,870,115,985
Pentagon,5937,114,6051
Cleveland Park,2172,108,2279
Glenmont,1936,108,2043
Landover,742,102,844
Bethesda,4350,97,4448
Capitol South,4084,92,4176
Braddock Road,1977,91,2068
Forest Glen,771,90,861
Wheaton,1332,87,1419
Medical Center,2386,84,2470
Congress Heights,1423,82,1505
Potomac Yard,1324,80,1404
Clarendon,2758,79,2837
Van Dorn Street,1244,79,1323
Dunn Loring,1507,75,1582
Tysons,2055,71,2126
Vienna,3454,66,3520
Addison Road,1284,63,1348
Grosvenor-Strathmore,2200,63,2262
Wiehle-Reston East,1420,58,1478
Virginia Sq-GMU,1950,57,2007
East Falls Church,2340,57,2397
Court House,3516,55,3571
Cheverly,454,52,507
Federal Center SW,2102,50,2153
Ashburn,1212,46,1258
McLean,1569,45,1614
Eisenhower Ave,1176,44,1220
Greensboro,851,42,892
Reston Town Center,790,38,828
Arlington Cemetery,1002,38,1039
Spring Hill,607,37,644
Innovation Center,794,33,826
Herndon,830,26,856
West Falls Church,1028,23,1050
Loudoun Gateway,257,11,268
