day_of_week,time
Wednesday,07:10:35
Friday,15:00:26
Wednesday,17:14:31
Friday,21:31:25
Wednesday,22:53:58
Tuesday,16:59:25
Tuesday,17:11:40
Saturday,08:35:54
Monday,21:22:37
Friday,05:44:51
Friday,02:58:30
Wednesday,18:11:50
Wednesday,21:02:37
Tuesday,21:20:43
Monday,02:37:38
Friday,12:01:58
Wednesday,21:02:54
Saturday,03:41:08
Wednesday,21:10:57
Monday,15:22:59
Tuesday,15:50:15
Tuesday,03:05:47
Wednesday,16:45:26
Sunday,02:56:06
Monday,02:55:53
Monday,23:14:24
Thursday,15:46:56
Wednesday,21:25:45
Saturday,23:57:34
Sunday,00:29:47
Friday,01:47:53
Friday,00:27:49
Friday,16:41:26
Monday,17:52:55
Saturday,23:45:12
Saturday,14:09:06
Sunday,01:10:45
Tuesday,15:57:27
Saturday,04:26:23
Sunday,17:13:16
Thursday,20:24:22
Thursday,01:59:13
Monday,23:19:29
Tuesday,15:54:15
Wednesday,21:28:01
Sunday,20:33:23
Sunday,23:22:31
Wednesday,15:23:00
Wednesday,15:01:24
Sunday,21:57:35
Thursday,10:05:42
Wednesday,18:27:59
Monday,18:14:03
Friday,14:26:41
Monday,01:14:29
Sunday,15:13:02
Thursday,18:46:50
Friday,01:08:31
Tuesday,17:47:48
Tuesday,18:21:58
Saturday,02:22:36
Thursday,18:41:54
Saturday,17:35:13
Sunday,08:38:07
Wednesday,01:54:39
Friday,13:45:22
Monday,17:31:42
Monday,18:25:44
Tuesday,20:42:33
Monday,03:27:23
Wednesday,15:45:30
Wednesday,20:21:41
Saturday,03:17:19
Friday,18:12:08
Wednesday,17:07:50
Monday,08:40:08
Monday,01:02:07
Wednesday,16:41:20
Saturday,09:20:31
Monday,00:40:07
Tuesday,22:10:09
Tuesday,23:23:08
Monday,02:32:12
Tuesday,01:49:04
Tuesday,18:43:12
Monday,23:32:01
Wednesday,06:30:54
Friday,00:46:40
Saturday,16:01:50
Friday,20:04:42
Wednesday,15:17:00
Monday,23:50:26
Sunday,15:24:56
Friday,09:04:59
Sunday,22:32:17
Friday,14:16:47
Sunday,16:28:35
Wednesday,03:57:17
Thursday,00:58:59
Monday,03:28:28
Friday,23:30:41
Saturday,16:36:14
Wednesday,20:57:32
Monday,20:12:54
Wednesday,02:49:01
